Best solution: 3.4652849070521965
Best and average solutions from each generation: 
Gen                 Best                Avg                 
--------------------------------------------------------------
    0               91.026            45810.702
    1               91.026             6174.998
    2               82.893             3177.269
    3               59.436              2875.09
    4               48.439             2227.617
    5               34.726             2290.068
    6               20.959               47.319
    7                20.29               39.196
    8               17.972               28.817
    9               10.185                19.91
   10               10.185                17.52
   11                9.512               15.515
   12                8.752               11.213
   13                8.717               10.232
   14                8.148                9.742
   15                8.148                9.958
   16                7.648               10.995
   17                7.618                8.319
   18                7.291                8.247
   19                6.545                8.064
   20                6.545                7.275
   21                 6.53                6.887
   22                6.457                6.777
   23                5.563                 6.58
   24                5.419                6.271
   25                4.806                6.079
   26                4.343                5.296
   27                4.333                4.766
   28                4.333                 5.45
   29                3.945                4.769
   30                3.945                4.473
   31                3.865                 4.41
   32                3.569                4.512
   33                3.569                6.264
   34                3.473                4.327
   35                3.473                5.201
   36                3.473                 4.46
   37                3.473                3.662
   38                3.473                3.624
   39                3.473                4.196
   40                3.468                3.631
   41                3.466                3.722
   42                3.465                3.663
   43                3.465                3.598
   44                3.465                4.198
   45                3.465                4.352
   46                3.465                4.168
   47                3.465                3.591
   48                3.465                4.163
   49                3.465                3.869
   50                3.465                3.592
   51                3.465                  3.5
   52                3.465                3.564
   53                3.465                3.577
   54                3.465                3.614
   55                3.465                3.482
   56                3.465                3.739
   57                3.465                3.744
   58                3.465                3.621
   59                3.465                3.737
   60                3.465                3.527
   61                3.465                3.742
   62                3.465                3.515
   63                3.465                3.873
   64                3.465                3.809
   65                3.465                3.528
   66                3.465                 4.19
   67                3.465                3.657
   68                3.465                3.697
   69                3.465                3.716
   70                3.465                 4.01
   71                3.465                5.086
   72                3.465                3.505
